Episode,Character,Type of appearance
97,Fumikage Tokoyami,Direct
97,Eijiro Kirishima,Direct
97,Midnight,Direct
97,All Might,Direct
97,Mezo Shoji,Direct
97,Mashirao Ojiro,Direct
97,Koji Koda,Direct
97,Minoru Mineta,Direct
97,Izuku Midoriya,Direct
97,Shoto Todoroki,Direct
97,Ochaco Uraraka,Direct
97,Momo Yaoyorozu,Direct
97,Yui Kodai,Direct
97,Nirengeki Shoda,Direct
97,Eraser Head,Direct
97,Neito Monoma,Direct
97,Itsuka Kendo,Direct
97,Present Mic,Voice commentary
97,Mina Ashido,Direct
97,Nezu,Pictured
97,Shihai Kuroiro,Direct
97,Manga Fukidashi,Direct
97,Toru Hagakure,Direct
97,Hitoshi Shinso,Direct
97,Reiko Yanagi,Direct
97,Kosei Tsuburaba,Direct
97,Tsuyu Asui,Direct
97,Sen Kaibara,Direct
97,Juzo Honenuki,Direct
97,Kinoko Komori,Direct
97,Jurota Shishida,Direct
97,Ibara Shiozaki,Direct
97,Tenya Ida,Direct
97,Pony Tsunotori,Direct
97,Tetsutetsu Tetsutetsu,Direct
97,Hiryu Rin,Direct
98,All For One,Direct
98,Gigantomachia,Flashback
98,Gran Torino,Direct
98,Naomasa Tsukauchi,Flashback
98,Tomura Shigaraki,Fantasy
98,Twice,Fantasy
98,Himiko Toga,Fantasy
98,Magne,Fantasy
98,Mr. Compress,Fantasy
98,First user,Flashback
98,Mina Ashido,Direct
98,Minoru Mineta,Direct
98,Ochaco Uraraka,Direct
98,Izuku Midoriya,Direct
98,Vlad King,Direct
98,Eraser Head,Direct
98,Midnight,Direct
98,All Might,Direct
98,Nana Shimura,Flashback
98,Neito Monoma,Direct
98,Nirengeki Shoda,Direct
98,Hitoshi Shinso,Direct
98,Reiko Yanagi,Direct
98,Yui Kodai,Direct
98,Tenya Ida,Direct
98,Shoto Todoroki,Direct
98,Hanta Sero,Direct
98,Koji Koda,Direct
98,Kyoka Jiro,Direct
98,Katsuki Bakugo,Direct
98,Rikido Sato,Direct
98,Yosetsu Awase,Flashback
98,Present Mic,Voice commentary
98,Dabi,Flashback
98,Kurogiri,Flashback
98,Momo Yaoyorozu,Direct
98,Mashirao Ojiro,Direct
98,Tsuyu Asui,Direct
98,Mezo Shoji,Direct
98,Gentle Criminal,Flashback
98,Sir Nighteye,Flashback
98,Overhaul,Flashback
98,Eri,Flashback
98,Fifth user,Vision
98,Fourth user,Vision
98,Sixth user,Vision
99,Vlad King,Direct
99,Izuku Midoriya,Direct
99,Eraser Head,Direct
99,All Might,Direct
99,Hitoshi Shinso,Direct
99,Yui Kodai,Direct
99,Minoru Mineta,Direct
99,Reiko Yanagi,Direct
99,Nirengeki Shoda,Direct
99,Mina Ashido,Direct
99,Ochaco Uraraka,Direct
99,Denki Kaminari,Direct
99,Eijiro Kirishima,Direct
99,Tsuyu Asui,Direct
99,Rikido Sato,Direct
99,Hanta Sero,Direct
99,Kosei Tsuburaba,Direct
99,Jurota Shishida,Direct
99,Kyoka Jiro,Direct
99,Katsuki Bakugo,Direct
99,Neito Monoma,Direct
99,Sen Kaibara,Direct
99,Shihai Kuroiro,Direct
99,Shoto Todoroki,Direct
99,Fifth user,Flashback
99,Nezu,Painted image
99,Fumikage Tokoyami,Direct
99,Tetsutetsu Tetsutetsu,Direct
99,Togaru Kamakiri,Direct
99,Kojiro Bondo,Direct
99,Kinoko Komori,Direct
99,Momo Yaoyorozu,Direct
99,Itsuka Kendo,Direct
99,Toru Hagakure,Direct
99,Juzo Honenuki,Direct
99,Tenya Ida,Direct
99,Yosetsu Awase,Direct
99,Midnight,Direct
99,Yuga Aoyama,Direct
99,Mezo Shoji,Screen
99,Mashirao Ojiro,Direct
99,Koji Koda,Direct
99,Ibara Shiozaki,Direct
99,Manga Fukidashi,Direct
99,Pony Tsunotori,Direct
99,Setsuna Tokage,Direct
99,Hiryu Rin,Direct
100,Hitoshi Shinso,Direct
100,Izuku Midoriya,Direct
100,Eraser Head,Direct
100,Ochaco Uraraka,Direct
100,Tsuyu Asui,Direct
100,Hiryu Rin,Direct
100,Jurota Shishida,Direct
100,Vlad King,Direct
100,Tetsutetsu Tetsutetsu,Direct
100,Ibara Shiozaki,Direct
100,Sen Kaibara,Direct
100,Eijiro Kirishima,Direct
100,Setsuna Tokage,Direct
100,Denki Kaminari,Direct
100,Pony Tsunotori,Direct
100,Mashirao Ojiro,Direct
100,Itsuka Kendo,Direct
100,Juzo Honenuki,Direct
100,Tenya Ida,Direct
100,Rikido Sato,Direct
100,Hanta Sero,Direct
100,Mina Ashido,Direct
100,Shoto Todoroki,Direct
100,Kyoka Jiro,Direct
100,Momo Yaoyorozu,Direct
100,Minoru Mineta,Direct
100,Nirengeki Shoda,Mentioned
100,Neito Monoma,Direct
100,All Might,Direct
100,Yui Kodai,Direct
100,Reiko Yanagi,Direct
100,Eri,Direct
100,Mirio Togata,Direct
100,Katsuki Bakugo,Direct
100,Fifth user,Mentioned
100,Nana Shimura,Mentioned
100,Sixth user,Mentioned
100,All For One,Mentioned
100,Toru Hagakure,Direct
100,Shihai Kuroiro,Direct
100,Kinoko Komori,Direct
100,Fumikage Tokoyami,Direct
100,Kosei Tsuburaba,Direct
100,Koji Koda,Direct
100,Yosetsu Awase,Direct
100,Endeavor,Direct
100,Ectoplasm,Direct
100,Present Mic,Direct
100,Nezu,Direct
100,Midnight,Direct
100,Oboro Shirakumo,Mentioned
100,Fat Gum,Fantasy
100,Gang Orca,Direct
100,Camie Utsushimi,Direct
100,Inasa Yoarashi,Direct
100,Gang Orca's Sidekicks,Direct
100,Yuga Aoyama,Direct
100,Mezo Shoji,Direct
100,Cider House,Direct
100,Slidin' Go,Direct
101,Tomura Shigaraki,Direct
101,Katsuki Bakugo,Direct
101,Cider House,Flashback
101,Shoto Todoroki,Direct
101,Tenya Ida,Direct
101,Ochaco Uraraka,Direct
101,Izuku Midoriya,Direct
101,Denki Kaminari,Direct
101,Hanta Sero,Direct
101,Mina Ashido,Direct
101,Tsuyu Asui,Direct
101,Kyoka Jiro,Direct
101,Momo Yaoyorozu,Direct
101,Toru Hagakure,Direct
101,Minoru Mineta,Direct
101,Aorio Kuraishisu,Screen
101,Hiroshi Tameda,Flashback
101,Endeavor,Flashback
101,Hood,Flashback
101,Eijiro Kirishima,Direct
101,Yuga Aoyama,Direct
101,Rikido Sato,Direct
101,Mt. Lady,Direct
101,Midnight,Direct
101,Eraser Head,Direct
101,Koji Koda,Direct
101,Mezo Shoji,Direct
101,Fumikage Tokoyami,Direct
101,Mashirao Ojiro,Direct
101,Kamui Woods,Flashback
101,Giant Villain,Flashback
101,Ryukyu,Fantasy
101,Mirko,Fantasy
101,Edgeshot,Fantasy
101,Hawks,Direct
101,Best Jeanist,Flashback
101,Tensei Ida,Mentioned
101,Fifth user,Flashback
101,All Might,Direct
101,Nezu,Direct
101,Snipe,Direct
101,Ectoplasm,Direct
101,Cementoss,Direct
101,Vlad King,Direct
101,Public Safety Commission President,Direct
101,Naomasa Tsukauchi,Screen
101,Centipeder,Flashback
101,Bubble Girl(Flashback),Direct
101,Sir Nighteye,Mentioned
101,Gran Torino,Mentioned
101,Eri,Direct
101,Mirio Togata,Flashback
101,Neito Monoma,Flashback
102,Hawks,Direct
102,Hood,Flashback
102,Endeavor,Direct
102,Dabi,Direct
102,Public Safety Commission President,Direct
102,Best Jeanist,Direct
102,All For One,Flashback
102,Recovery Girl,Mentioned
102,Izuku Midoriya,Direct
102,Inko Midoriya,Direct
102,Ochaco Uraraka,Mentioned
102,Hitoshi Shinso,Mentioned
102,Eri,Mentioned
102,All Might,Flashback
102,Cementoss,Direct
102,Slidin' Go,Direct
102,Skeptic,Cameo
102,Katsuki Bakugo,Direct
102,Shoto Todoroki,Direct
102,Starservant,Direct
102,Fumikage Tokoyami,Mentioned
102,Destro,Fantasy
102,Burnin,Direct
102,Kido,Direct
102,Onima,Direct
103,Hawks,Direct
103,Re-Destro,Direct
103,Trumpet,Direct
103,Skeptic,Direct
103,Dabi,Direct
103,Himiko Toga,Direct
103,Twice,Direct
103,Spinner,Direct
103,Destro,Mentioned
103,Mr. Compress,Direct
103,Tomura Shigaraki,Mentioned
103,Endeavor,Direct
103,Katsuki Bakugo,Direct
103,Izuku Midoriya,Direct
103,Shoto Todoroki,Direct
103,Starservant,Flashback
103,Public Safety Commission President,Flashback
103,Burnin,Direct
103,Onima,Direct
103,Kido,Direct
103,Fumikage Tokoyami,Direct
103,Ryukyu,Direct
103,Nejire Hado,Direct
103,Ochaco Uraraka,Direct
103,Tsuyu Asui,Direct
103,Tenya Ida,Direct
103,Manual,Direct
103,Tamaki Amajiki,Direct
103,Tetsutetsu Tetsutetsu,Direct
103,Eijiro Kirishima,Direct
103,Fat Gum,Direct
103,Edgeshot,Direct
103,Kamui Woods,Direct
103,Mt. Lady,Direct
103,Ibara Shiozaki,Direct
103,Denki Kaminari,Direct
103,Hanta Sero,Direct
103,Minoru Mineta,Direct
103,Rikido Sato,Direct
103,Mashirao Ojiro,Direct
103,Jurota Shishida,Direct
103,Nirengeki Shoda,Direct
103,Shishido,Direct
103,Kyoka Jiro,Direct
103,Gang Orca,Direct
103,Mezo Shoji,Direct
103,Wash,Direct
103,Koji Koda,Direct
103,Manga Fukidashi,Direct
103,Momo Yaoyorozu,Direct
103,Setsuna Tokage,Direct
103,Majestic,Direct
103,Yuga Aoyama,Direct
103,Mina Ashido,Direct
103,Toru Hagakure,Direct
103,Yoroi Musha,Direct
103,Pony Tsunotori,Direct
103,Neito Monoma,Direct
103,Yosetsu Awase,Direct
103,Hiryu Rin,Direct
103,Kinoko Komori,Direct
103,Shihai Kuroiro,Direct
103,Togaru Kamakiri,Direct
103,Sen Kaibara,Direct
103,Kosei Tsuburaba,Direct
103,Juzo Honenuki,Direct
103,Yui Kodai,Direct
103,Itsuka Kendo,Direct
103,Reiko Yanagi,Direct
103,Kojiro Bondo,Direct
103,Yo Shindo,Direct
103,Tatami Nakagame,Direct
103,Shikkui Makabe,Direct
103,Itejiro Toteki,Direct
103,Inasa Yoarashi,Direct
103,Seiji Shishikura,Direct
103,Camie Utsushimi,Direct
103,Mirio Togata,Direct
103,Gentle Criminal,Flashback
103,La Brava,Flashback
103,All Might,Flashback
103,Tsubasa,Flashback
103,Rei Todoroki,Flashback
103,Fuyumi Todoroki,Flashback
103,Gran Torino,Flashback
103,Fifth user,Flashback
103,Hood,Flashback
103,Muscular,Flashback
103,Eri,Flashback
103,Overhaul,Flashback
104,Izuku Midoriya,Direct
104,Shoto Todoroki,Direct
104,Katsuki Bakugo,Direct
104,Endeavor,Direct
104,Burnin,Direct
104,Kido,Direct
104,Onima,Direct
104,Ochaco Uraraka,Direct
104,Tsuyu Asui,Direct
104,Ryukyu,Direct
104,Nejire Hado,Direct
104,Present Mic,Voice commentary
104,Eijiro Kirishima,Flashback
104,Selkie,Direct
104,Sirius,Direct
104,Mick,Direct
104,Innsmouth,Flashback
104,Flect Turn,Direct
105,Shoto Todoroki,Direct
105,Katsuki Bakugo,Direct
105,Izuku Midoriya,Direct
105,Endeavor,Direct
105,Burnin,Direct
105,Kido,Direct
105,Onima,Direct
105,Hawks,Flashback
105,Fuyumi Todoroki,Direct
105,Natsuo Todoroki,Direct
105,Rei Todoroki,Flashback
105,Toya Todoroki,Flashback
105,All Might,Flashback
105,Hood,Flashback
105,Camie Utsushimi,Flashback
105,Inasa Yoarashi,Flashback
105,Takuto,Flashback
105,Tamashiro,Flashback
105,Sho,Flashback
105,Ending,Direct
106,Endeavor,Direct
106,Takami,Flashback
106,Ending,Direct
106,All Might,Mentioned
106,Toya Todoroki,Pictured
106,Natsuo Todoroki,Direct
106,Katsuki Bakugo,Direct
106,Izuku Midoriya,Direct
106,Fuyumi Todoroki,Direct
106,Shoto Todoroki,Direct
106,Rei Todoroki,Flashback
106,Untenmaru Kurumada,Direct
106,Ochaco Uraraka,Mentioned
106,Eijiro Kirishima,Mentioned
106,Hood,Flashback
106,Starservant,Flashback
106,Best Jeanist,Mentioned
106,Hawks,Direct
107,Tenya Ida,Direct
107,Momo Yaoyorozu,Direct
107,Yuga Aoyama,Direct
107,Mina Ashido,Direct
107,Mashirao Ojiro,Direct
107,Tsuyu Asui,Direct
107,Denki Kaminari,Direct
107,Ochaco Uraraka,Direct
107,Eijiro Kirishima,Direct
107,Mezo Shoji,Direct
107,Koji Koda,Direct
107,Rikido Sato,Direct
107,Kyoka Jiro,Direct
107,Hanta Sero,Direct
107,Fumikage Tokoyami,Direct
107,Shoto Todoroki,Direct
107,Toru Hagakure,Direct
107,Katsuki Bakugo,Direct
107,Izuku Midoriya,Direct
107,Minoru Mineta,Direct
107,Eraser Head,Direct
107,Manual,Mentioned
107,All Might,Direct
107,Present Mic,Direct
107,Naomasa Tsukauchi,Direct
107,Gran Torino,Direct
107,Kurogiri,Direct
107,Oboro Shirakumo,Direct
107,All For One,Flashback
107,Endeavor,Flashback
107,Hood,Flashback
107,Hawks,Direct
107,Thirteen,Flashback
107,Steel Bulwark,Flashback
107,Nomu (U.S.J.) (Flashback),Direct
107,Mawata Fuwa,Direct
107,Nezu,Flashback
107,Public Safety Commission President,Direct
107,Twice,Direct
107,Daruma Ujiko,Direct
107,Tomura Shigaraki,Direct
108,Daruma Ujiko,Direct
108,Tomura Shigaraki,Direct
108,Kurogiri,Flashback
108,Gigantomachia,Direct
108,Mr. Compress,Direct
108,Himiko Toga,Direct
108,Twice,Direct
108,Spinner,Direct
108,Dabi,Direct
108,Eleph,Direct
108,Ribby,Direct
108,Hood,Direct
108,Woman,Direct
108,Chubs,Direct
108,Robot,Direct
108,Kotaro Shimura,Flashback
108,All For One,Flashback
108,Nao Shimura,Flashback
108,Hana Shimura,Flashback
108,All Might,Flashback
108,Overhaul,Flashback
108,Johnny,Direct
108,Stain,Mentioned
108,Izuku Midoriya,Mentioned
108,Ochaco Uraraka,Mentioned
108,Re-Destro,Direct
108,Giran,Direct
108,Skeptic,Direct
108,Trumpet,Direct
108,Curious,Direct
108,Endeavor,Pictured
108,Hawks,Pictured
108,Edgeshot,Pictured
108,Mirko,Pictured
108,Crust,Pictured
108,Destro,Pictured
109,Destro,Flashback
109,Re-Destro,Direct
109,Geten,Direct
109,Skeptic,Direct
109,Trumpet,Direct
109,Curious,Direct
109,Tomura Shigaraki,Direct
109,Spinner,Direct
109,Himiko Toga,Direct
109,Dabi,Direct
109,Twice,Direct
109,Mr. Compress,Direct
109,Gigantomachia,Mentioned
109,Slidin' Go,Direct
109,Giran,Direct
109,Nomu (U.S.J.) (Flashback),Direct
109,Kurogiri,Flashback
109,Izuku Midoriya,Flashback
109,Naomasa Tsukauchi,Flashback
109,Endeavor,Flashback
109,Gran Torino,Flashback
109,All Might,Flashback
109,Hood,Flashback
109,Hawks,Flashback
109,Mirko,Flashback
109,All For One,Mentioned
109,Present Mic,Voice commentary
109,Saito,Flashback
109,Ochaco Uraraka,Himiko's disguise
109,Nana Shimura,Photograph
109,Kotaro Shimura,Photograph
109,Hana Shimura,Flashback
110,Twice,Direct
110,Himiko Toga,Direct
110,Skeptic,Direct
110,Giran,Direct
110,Re-Destro,Direct
110,Tomura Shigaraki,Direct
110,Spinner,Direct
110,Mr. Compress,Direct
110,Geten,Direct
110,Dabi,Direct
110,Daruma Ujiko,Direct
110,Johnny,Direct
110,All For One,Voice
110,Gigantomachia,Direct
110,Trumpet,Direct
110,The Mother of Quirks,Pictured
110,Destro,Flashback
111,Twice,Direct
111,Himiko Toga,Direct
111,Spinner,Direct
111,Trumpet,Direct
111,Present Mic,Voice commentary
111,Stain,Flashback
111,Tomura Shigaraki,Direct
111,Mr. Compress,Flashback
111,Giran,Direct
111,Re-Destro,Direct
111,All For One,Flashback
111,Hana Shimura,Flashback
111,Nao Shimura,Flashback
111,Geten,Mentioned
111,All Might,Flashback
111,Magne,Flashback
111,Dabi,Flashback
111,Katsuki Bakugo,Flashback
111,Kamui Woods,Flashback
111,Kurogiri,Flashback
111,Gran Torino,Flashback
111,Chizuo,Flashback
111,Mako,Flashback
111,Skeptic,Direct
111,Gigantomachia,Direct
111,Kotaro Shimura,Flashback
111,Nana Shimura,Flashback
112,Tomura Shigaraki,Direct
112,All For One,Flashback
112,Daruma Ujiko,Direct
112,Kotaro Shimura,Flashback
112,Nao Shimura,Flashback
112,Chizuo,Pictured
112,Mako,Pictured
112,Hana Shimura,Flashback
112,Re-Destro,Direct
112,Gigantomachia,Direct
112,Geten,Direct
112,Dabi,Direct
112,Twice,Direct
112,Himiko Toga,Direct
112,Mr. Compress,Direct
112,Johnny,Direct
112,Trumpet,Direct
112,Giran,Direct
112,Skeptic,Direct
112,Destro,Pictured
112,Spinner,Direct
112,Izuku Midoriya,Narration
112,Curious,Pictured
112,Victor,Direct
112,Chomper,Direct
113,Hawks,Direct
113,Dabi,Direct
113,Best Jeanist,Flashback
113,Re-Destro,Direct
113,Trumpet,Direct
113,Geten,Direct
113,Skeptic,Direct
113,Tomura Shigaraki,Direct
113,Mr. Compress,Direct
113,Himiko Toga,Direct
113,Twice,Direct
113,Spinner,Direct
113,Endeavor,Flashback
113,Izuku Midoriya,Direct
113,Shoto Todoroki,Direct
113,Katsuki Bakugo,Direct
113,Daruma Ujiko,Direct
113,Yuga Aoyama,Direct
113,Hanta Sero,Direct
113,Denki Kaminari,Direct
113,Fumikage Tokoyami,Direct
113,Rikido Sato,Direct
113,Toru Hagakure,Direct
113,Tsuyu Asui,Direct
113,Ochaco Uraraka,Direct
113,Eijiro Kirishima,Direct
113,Koji Koda,Direct
113,Momo Yaoyorozu,Direct
113,Mezo Shoji,Direct
113,All Might,Direct
113,Mashirao Ojiro,Direct
113,Tenya Ida,Direct
113,Mina Ashido,Direct
113,Minoru Mineta,Direct
113,Kyoka Jiro,Direct
113,Yoroi Musha,Mentioned
113,Shishido,Pictured
113,Gang Orca,Pictured
113,Mt. Lady,Pictured
113,Edgeshot,Pictured
113,Kamui Woods,Pictured
113,Manual,Pictured
113,Wash,Pictured
113,Fat Gum,Pictured
113,Ryukyu,Pictured
113,Majestic,Pictured
113,Eraser Head,Direct
113,Present Mic,Direct
113,Mirio Togata,Direct
113,Tamaki Amajiki,Direct
113,Eri,Direct
113,Nejire Hado,Direct
113,Daigoro Banjo,Flashback
113,All For One,Flashback
113,Fourth user,Flashback
113,Sixth user,Flashback
113,Nana Shimura,Flashback
113,Gran Torino,Flashback
113,Fuyumi Todoroki,Mentioned
113,Yui Kodai,Mentioned
113,Naomasa Tsukauchi,Mentioned
113,Stain,Mentioned
113,Sir Nighteye,Flashback
113,Burnin,Direct
113,Manga Fukidashi,Direct
